PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,lon,lat
111,SICILIA,24/G273/PA/19,Palermo,Palermo,Vivai Lo Porto,"38° 06' 19,07''","13° 20' 19,16''",51.0,sì,Dracaena draco L.,Albero del drago,700.0,7.0,"a) età e/o dimensioni
d) rarità botanica",no,13.338656,38.105297
112,SICILIA,25/G273/PA/19,Palermo,Palermo,Vivai Lo Porto,"38° 06' 21,37''","13° 20' 17,08''",51.0,sì,Sterculia acerifolia A. Cunn. Ex D. Don,Albero del fuoco,450.0,20.0,"a) età e/o dimensioni
d) rarità botanica",no,13.338078,38.105936
113,SICILIA,26/G273/PA/19,Palermo,Palermo,Villa Bonanno - Piazza  Vittoria,"38° 6' 44,7''","13° 21' 19,08''",33.0,sì,Insieme omogeneo di Phoenix dactylifera L.,Palma da datteri,"200 (med)
250 (max)","20,0 (med)
25,0 (max)","a) età e/o dimensioni
d) rarità botanica
e) architettura vegetale
g) valore storico, culturale, religioso",sì,13.355300,38.112417
114,SICILIA,27/G273/PA/19,Palermo,Palermo,Zen - Viale Sandro Pertini 710,"38° 10' 58,95''","13° 19' 15,47''",22.0,no,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,3400.0,25.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",sì,13.320964,38.183042
115,SICILIA,28/G273/PA/19,Palermo,Palermo,Palazzina Cinese - Via Duca degli Abruzzi,"38° 09' 59,4''","13° 19' 51,18''",63.0,sì,Dracena draco L.,Albero del drago,600.0,7.0,"a) età e/o dimensioni
d) rarità botanica",no,13.330883,38.166500
116,SICILIA,29/G273/PA/19,Palermo,Palermo,Villa Niscemi,"38° 09' 51,26''","13° 20' 04,36''",40.0,sì,Ficus microcarpa L.,Ficus a frutti piccoli,420.0,18.0,"a) età e/o dimensioni
d) rarità botanica",no,13.334544,38.164239
117,SICILIA,30/G273/PA/19,Palermo,Palermo,Villa Niscemi,"38° 09' 50,38''","13° 20' 00,72''",50.0,no,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,3600.0,8.0,"a) età e/o dimensioni
d) rarità botanica",no,13.333533,38.163994
118,SICILIA,31/G273/PA/19,Palermo,Palermo,Villa Niscemi,38° 09' 51'',13° 20' 2'',50.0,sì,Ficus microcarpa L.,Ficus a frutti piccoli,560.0,20.0,"a) età e/o dimensioni
d) rarità botanica",no,13.333889,38.164167
119,SICILIA,32/G273/PA/19,Palermo,Palermo,Villa Niscemi,"38° 09' 49,16''","13° 20' 00,26''",50.0,sì,Dracaena draco L.,Albero del drago,250.0,8.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,13.333406,38.163656
120,SICILIA,33/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 6' 44,62''","13° 22' 23,09''",10.0,sì,Carya illinoinensis (Wangenh.) K. Koch,Noce Pecan,560.0,30.0,"a) età e/o dimensioni
d) rarità botanica",no,13.373081,38.112394
121,SICILIA,34/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 06' 45,26''","13° 22' 24,45''",10.0,sì,"Ceiba speciosa (A.St.-Hil, A.Juss & Cambess.) syn Chorisia speciosa A. St. Hill",Falso kapok,380.0,15.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica",no,13.373458,38.112572
122,SICILIA,35/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 06' 44,84''","13° 22' 24,78''",10.0,sì,Melaleuca glaberrima F. Muel,Melaleuca glabra,210.0,4.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica",no,13.373550,38.112456
